Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR
klse: Tiger Synergy Bhd,Building Materials,4.5,2.1,6.08,3.89,5.77,752,64,324,890,-1380,-1101,-3137,-8100,-1380,-1101,-3137,-8140,2030,-13758,0.34,0,435,10860,14160,300690,13.75,4.14,0.18,-0.045754764,0.047091689,0.006751139
klse: Tanco Holdings Bhd,Property Developer,3.7,1.3,5.22,2.98,5.22,663,660,568,1958,-1939,-6866,-3184,-1731,-1939,-7905,-3198,-1731,3849,-14773,0.13,0,4020,42800,113830,157540,1,0.1,0.06,-0.09377301,0.722546655,0.02443189
klse: UWC Bhd,Semiconductor,3.7,2.4,0.01,4.06,8.43,71500,61406,55796,54938,28657,22825,18031,16987,21708,18648,14593,13310,243640,68259,0.41,170,57810,7160,53670,223280,3.94,2.94,1.33,0.305710319,0.240370835,1.091185955
klse: Malaysian Pacific Industries Bhd,Semiconductor,4.6,3.3,2.47,5.01,7.71,440585,405451,376289,413763,73085,62454,34221,65480,55308,49045,22054,45097,1636088,201154,7.24,0,835230,35840,399040,1380000,3.33,3.01,2.28,0.145763768,0.28915942,1.185571014
klse: Asia Brands Bhd,Textiles,4.2,5.7,4.22,4.16,2.74,49233,34694,37840,46262,5796,4291,-999,3747,5348,4229,-1005,3609,168029,12181,0.85,157700,10900,65530,93940,202240,1.75,0.54,0.13,0.060230419,0.464497627,0.830839597
klse: Wah Seong Corp. Bhd,Oilfield Services,3.3,2.8,3.89,0.47,5.86,453299,243115,326740,429250,-235416,-30512,-43256,-63831,-255826,-29636,-44426,-30593,1452404,-373575,1.27,151040,250420,1210000,1660000,914080,0.91,0.68,0.13,-0.408689611,1.816033608,1.588924383
klse: Berjaya Sports Toto Bhd,Construction,4.2,5.8,1.77,2.69,6.34,1345864,475059,1333491,1408017,101447,-45478,74341,95394,67854,-43265,48611,61938,4562431,136442,0.55,691480,307770,1480000,2120000,737830,1.22,0.82,0.28,0.184923356,2.873290595,6.183580229
klse: Sarawak Cable Bhd,Electrical Products,2,0.6,2.48,0.01,4.89,212749,110672,152695,217448,5997,-19830,2703,-70254,3436,-17768,550,-74897,693564,-88612,0.5,2510,45700,517840,761780,143610,0.75,0.53,0.13,-0.61703224,5.304505257,4.829496553
klse: Solarvest Holdings Berhad,Industrial Products,3.6,3,0.21,3.73,7.38,62163,28750,51350,62120,5708,1286,2845,4834,4001,814,3814,3978,204383,13040,0.21,0,67340,27380,83810,81660,2,1.72,0.85,0.159686505,1.02632868,2.502853294
klse: Brahim’s Holdings Bhd,Ringgit,1.2,0.1,0.01,0.01,4.88,8484,8062,57984,83905,-46472,-25270,-10983,-9101,-17792,-3420,-11463,-16218,158435,-96464,-0.09,102350,20980,85180,161820,5500,0.66,0.61,0.25,-17.53890909,29.42181818,28.80636364
klse: Peterlabs Holdings Bhd,Pharmaceuticals,5.7,5.6,5.39,6.33,5.51,20149,19128,21777,24368,1793,1179,1322,1504,1228,764,911,1290,85422,4193,0.24,0,21280,7620,19600,54150,2.99,2.21,0.79,0.077433056,0.361957525,1.577506925
